time,action,isGCD,castTime
179.29224999999988,Higanbana,1,1.3
180.7047499999999,Shoha,0,0
181.4359999999999,Gyofu,1,0
183.5797499999999,Yukikaze,1,0
184.12974999999992,Meikyo Shisui,0,0
185.72349999999992,Gekko,1,0
186.27349999999993,Hissatsu: Shinten,0,0
187.86724999999996,Kaeshi: Setsugekka,1,0
190.0109999999999,Kasha,1,0
192.15474999999992,Tendo Setsugekka,1,1.3
193.56724999999992,Hissatsu: Senei,0,0
194.2984999999999,Gekko,1,0
194.84849999999992,Sprint,0,0
196.44224999999994,Gyofu,1,0
196.99224999999996,Tengentsu,0,0
197.54224999999997,Pop Tengentsu,0,0
198.58599999999996,Tendo Kaeshi Setsugekka,1,0
199.13599999999994,Hissatsu: Yaten,0,0
200.72974999999994,Enpi,1,0
201.27974999999992,Hissatsu: Gyoten,0,0
202.87349999999992,Yukikaze,1,0
203.42349999999993,Hissatsu: Shinten,0,0
205.01724999999993,Gyofu,1,0
205.56724999999994,Hissatsu: Shinten,0,0
207.16099999999994,Shifu,1,0
209.30474999999996,Kasha,1,0
211.44849999999997,Midare Setsugekka,1,1.3
213.59224999999998,Gyofu,1,0
215.73599999999996,Jinpu,1,0
216.28599999999997,Hissatsu: Shinten,0,0
217.87974999999997,Gekko,1,0
220.02349999999996,Gyofu,1,0
222.16725,Kaeshi: Setsugekka,1,0
224.311,Yukikaze,1,0
224.86100000000002,Feint,0,0
226.45475000000002,Gyofu,1,0
227.00475000000003,Hissatsu: Shinten,0,0
228.59850000000003,Shifu,1,0
230.74225000000004,Kasha,1,0
231.29225000000005,Tengentsu,0,0
231.84225000000004,Pop Tengentsu,0,0
232.88600000000002,Midare Setsugekka,1,1.3
234.29850000000005,Shoha,0,0
235.02974999999998,Gyofu,1,0
235.57975,Hissatsu: Shinten,0,0
237.1735,Yukikaze,1,0
237.7235,Hissatsu: Shinten,0,0
239.31725,Higanbana,1,1.3
241.461,Gyofu,1,0
243.60474999999997,Yukikaze,1,0
244.15474999999998,Meikyo Shisui,0,0
245.74849999999998,Gekko,1,0
247.89224999999993,Kasha,1,0
248.44224999999994,Hissatsu: Shinten,0,0
250.0359999999999,Kaeshi: Setsugekka,1,0
251.39849999999996,Ikishoten,0,0
252.1797499999999,Tendo Setsugekka,1,1.3
253.59224999999992,Hissatsu: Senei,0,0
254.3234999999999,Ogi Namikiri,1,1.3
255.73599999999993,Zanshin,0,0
256.46724999999986,Kaeshi: Namikiri,1,0
257.0172499999999,Shoha,0,0
258.6109999999999,Gekko,1,0
260.75474999999983,Tendo Kaeshi Setsugekka,1,0
262.89849999999984,Gyofu,1,0
265.0422499999999,Shifu,1,0
265.5922499999999,Tengentsu,0,0
266.14224999999993,Pop Tengentsu,0,0
267.1859999999999,Kasha,1,0
267.7359999999999,Hissatsu: Shinten,0,0
269.3297499999998,Gyofu,1,0
271.47349999999983,Yukikaze,1,0
272.02349999999984,Hissatsu: Shinten,0,0
273.61724999999984,Midare Setsugekka,1,1.3
275.76099999999985,Gyofu,1,0
277.90474999999986,Jinpu,1,0
280.04849999999976,Gekko,1,0
282.1922499999998,Gyofu,1,0
282.7422499999998,Hissatsu: Shinten,0,0
284.3359999999998,Shifu,1,0
286.47974999999974,Kasha,1,0
287.0297499999997,Hissatsu: Shinten,0,0
288.6234999999997,Gyofu,1,0
290.76724999999965,Yukikaze,1,0
292.9109999999996,Kaeshi: Setsugekka,1,0
295.05474999999956,Midare Setsugekka,1,1.3
297.19849999999957,Gyofu,1,0
299.3422499999996,Yukikaze,1,0
299.8922499999996,Hissatsu: Shinten,0,0
301.4859999999996,Higanbana,1,1.3
302.8984999999996,Shoha,0,0
303.6297499999996,Gyofu,1,0
305.7734999999996,Yukikaze,1,0
306.3234999999996,Meikyo Shisui,0,0
307.91724999999957,Gekko,1,0
310.0609999999996,Kasha,1,0
310.6109999999996,Hissatsu: Shinten,0,0
312.2047499999996,Kaeshi: Setsugekka,1,0
313.5922499999996,Hissatsu: Senei,0,0
314.3484999999996,Tendo Setsugekka,1,1.3
316.49224999999956,Kasha,1,0
318.6359999999995,Gyofu,1,0
320.7797499999995,Jinpu,1,0
322.92349999999954,Gekko,1,0
325.0672499999995,Gyofu,1,0
325.6172499999995,Hissatsu: Shinten,0,0
327.2109999999995,Yukikaze,1,0
329.35474999999946,Tendo Kaeshi Setsugekka,1,0
331.4984999999995,Midare Setsugekka,1,1.3
333.6422499999995,Gyofu,1,0
334.1922499999995,Hissatsu: Shinten,0,0
335.7859999999995,Yukikaze,1,0
337.92974999999944,Kaeshi: Setsugekka,1,0
340.0734999999995,Gyofu,1,0
340.6234999999995,Feint,0,0
341.1734999999995,Tengentsu,0,0
341.7234999999995,Pop Tengentsu,0,0
342.21724999999947,Jinpu,1,0
342.7672499999995,Hissatsu: Shinten,0,0
